,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,176558,USB-C Charging Cable,2,11.95,4/19/2019 8:46,"917 1st St, Dallas, TX 75001"
1,,,,,,
2,176559,Bose SoundSport Headphones,1,99.99,4/7/2019 22:30,"682 Chestnut St, Boston, MA 02215"
3,176560,Google Phone,1,600,4/12/2019 14:38,"669 Spruce St, Los Angeles, CA 90001"
4,176560,Wired Headphones,1,11.99,4/12/2019 14:38,"669 Spruce St, Los Angeles, CA 90001"
5,176561,Wired Headphones,1,11.99,4/30/2019 9:27,"333 8th St, Los Angeles, CA 90001"
6,176562,USB-C Charging Cable,1,11.95,4/29/2019 13:03,"381 Wilson St, San Francisco, CA 94016"
7,176563,Bose SoundSport Headphones,1,99.99,4/2/2019 7:46,"668 Center St, Seattle, WA 98101"
8,176564,USB-C Charging Cable,1,11.95,4/12/2019 10:58,"790 Ridge St, Atlanta, GA 30301"
9,176565,Macbook Pro Laptop,1,1700,4/24/2019 10:38,"915 Willow St, San Francisco, CA 94016"
10,176566,Wired Headphones,1,11.99,4/8/2019 14:05,"83 7th St, Boston, MA 02215"
11,176567,Google Phone,1,600,4/18/2019 17:18,"444 7th St, Los Angeles, CA 90001"
12,176568,Lightning Charging Cable,1,14.95,4/15/2019 12:18,"438 Elm St, Seattle, WA 98101"
13,176569,27in 4K Gaming Monitor,1,389.99,4/16/2019 19:23,"657 Hill St, Dallas, TX 75001"
14,176570,AA Batteries (4-pack),1,3.84,4/22/2019 15:09,"186 12th St, Dallas, TX 75001"
15,176571,Lightning Charging Cable,1,14.95,4/19/2019 14:29,"253 Johnson St, Atlanta, GA 30301"
16,176572,Apple Airpods Headphones,1,150,4/4/2019 20:30,"149 Dogwood St, New York City, NY 10001"
17,176573,USB-C Charging Cable,1,11.95,4/27/2019 18:41,"214 Chestnut St, San Francisco, CA 94016"
18,176574,Google Phone,1,600,4/3/2019 19:42,"20 Hill St, Los Angeles, CA 90001"
19,176574,USB-C Charging Cable,1,11.95,4/3/2019 19:42,"20 Hill St, Los Angeles, CA 90001"
20,176575,AAA Batteries (4-pack),1,2.99,4/27/2019 0:30,"433 Hill St, New York City, NY 10001"
21,176576,Apple Airpods Headphones,1,150,4/28/2019 11:42,"771 Ridge St, Los Angeles, CA 90001"
22,176577,Apple Airpods Headphones,1,150,4/4/2019 19:25,"260 Spruce St, Dallas, TX 75001"
23,176578,Apple Airpods Headphones,1,150,4/9/2019 23:35,"513 Church St, Boston, MA 02215"
24,176579,AA Batteries (4-pack),1,3.84,4/11/2019 10:23,"886 Jefferson St, New York City, NY 10001"
25,176580,USB-C Charging Cable,1,11.95,4/5/2019 0:35,"886 Willow St, Los Angeles, CA 90001"
26,176581,iPhone,1,700,4/9/2019 21:38,"84 Jackson St, Boston, MA 02215"
27,176582,Bose SoundSport Headphones,1,99.99,4/27/2019 12:20,"178 Lincoln St, Atlanta, GA 30301"
28,176583,AAA Batteries (4-pack),2,2.99,4/20/2019 12:00,"146 Jackson St, Portland, OR 97035"
29,176584,Flatscreen TV,1,300,4/24/2019 20:39,"936 Church St, San Francisco, CA 94016"
30,176585,Bose SoundSport Headphones,1,99.99,4/7/2019 11:31,"823 Highland St, Boston, MA 02215"
31,176585,Bose SoundSport Headphones,1,99.99,4/7/2019 11:31,"823 Highland St, Boston, MA 02215"
32,176586,AAA Batteries (4-pack),2,2.99,4/10/2019 17:00,"365 Center St, San Francisco, CA 94016"
33,176586,Google Phone,1,600,4/10/2019 17:00,"365 Center St, San Francisco, CA 94016"
34,176587,27in FHD Monitor,1,149.99,4/29/2019 19:38,"557 5th St, Los Angeles, CA 90001"
35,176588,20in Monitor,1,109.99,4/2/2019 4:00,"765 Cherry St, Seattle, WA 98101"
36,176589,Lightning Charging Cable,1,14.95,4/4/2019 12:23,"846 Highland St, Atlanta, GA 30301"
37,176590,Google Phone,1,600,4/11/2019 11:46,"873 6th St, New York City, NY 10001"
38,176591,Apple Airpods Headphones,1,150,4/21/2019 7:21,"600 Maple St, Austin, TX 73301"
39,176592,USB-C Charging Cable,1,11.95,4/27/2019 13:04,"352 4th St, Los Angeles, CA 90001"
40,176593,Lightning Charging Cable,2,14.95,4/15/2019 13:45,"906 7th St, Portland, OR 97035"
41,176594,Wired Headphones,1,11.99,4/17/2019 23:04,"63 Maple St, San Francisco, CA 94016"
42,176595,Wired Headphones,3,11.99,4/2/2019 9:11,"383 6th St, Los Angeles, CA 90001"
43,176596,Apple Airpods Headphones,1,150,4/27/2019 20:11,"572 Meadow St, Dallas, TX 75001"
44,176597,USB-C Charging Cable,1,11.95,4/19/2019 13:39,"681 11th St, San Francisco, CA 94016"
45,176598,AAA Batteries (4-pack),2,2.99,4/21/2019 20:33,"294 Park St, San Francisco, CA 94016"
46,176599,Lightning Charging Cable,1,14.95,4/11/2019 15:25,"279 Maple St, New York City, NY 10001"
47,176600,27in 4K Gaming Monitor,1,389.99,4/30/2019 15:54,"87 West St, Boston, MA 02215"
48,176601,USB-C Charging Cable,1,11.95,4/2/2019 22:32,"754 10th St, Los Angeles, CA 90001"
49,176602,Lightning Charging Cable,1,14.95,4/30/2019 9:39,"9 Jefferson St, Dallas, TX 75001"
50,176603,USB-C Charging Cable,1,11.95,4/1/2019 7:46,"858 6th St, San Francisco, CA 94016"
51,176604,USB-C Charging Cable,1,11.95,4/2/2019 10:57,"462 11th St, San Francisco, CA 94016"
52,176605,USB-C Charging Cable,1,11.95,4/15/2019 16:29,"717 Pine St, San Francisco, CA 94016"
53,176606,LG Dryer,1,600,4/21/2019 14:16,"487 Maple St, San Francisco, CA 94016"
54,176607,AAA Batteries (4-pack),2,2.99,4/18/2019 12:11,"689 10th St, Boston, MA 02215"
55,176608,iPhone,1,700,4/11/2019 12:01,"15 Cherry St, San Francisco, CA 94016"
56,176609,Apple Airpods Headphones,1,150,4/11/2019 16:59,"267 11th St, Austin, TX 73301"
57,176610,AAA Batteries (4-pack),1,2.99,4/26/2019 0:40,"382 River St, Dallas, TX 75001"
58,176611,Bose SoundSport Headphones,1,99.99,4/30/2019 13:16,"971 Sunset St, San Francisco, CA 94016"
59,176612,Apple Airpods Headphones,1,150,4/4/2019 19:48,"149 North St, Seattle, WA 98101"
60,176613,USB-C Charging Cable,2,11.95,4/26/2019 18:58,"405 4th St, New York City, NY 10001"
61,176614,AA Batteries (4-pack),1,3.84,4/7/2019 21:01,"647 Jackson St, San Francisco, CA 94016"
62,176615,Lightning Charging Cable,1,14.95,4/30/2019 10:35,"833 River St, Dallas, TX 75001"
63,176616,USB-C Charging Cable,1,11.95,4/5/2019 20:40,"380 Washington St, San Francisco, CA 94016"
64,176617,Apple Airpods Headphones,1,150,4/25/2019 8:03,"319 8th St, Portland, OR 97035"
65,176618,Lightning Charging Cable,2,14.95,4/18/2019 21:44,"273 South St, San Francisco, CA 94016"
66,176619,Flatscreen TV,1,300,4/16/2019 18:37,"116 North St, Los Angeles, CA 90001"
67,176620,USB-C Charging Cable,1,11.95,4/17/2019 10:39,"994 Pine St, Los Angeles, CA 90001"
68,176621,Lightning Charging Cable,1,14.95,4/11/2019 16:09,"863 8th St, Boston, MA 02215"
69,176622,AA Batteries (4-pack),1,3.84,4/11/2019 20:16,"983 11th St, San Francisco, CA 94016"
70,176623,27in FHD Monitor,1,149.99,4/20/2019 23:51,"807 12th St, Atlanta, GA 30301"
71,176624,AA Batteries (4-pack),1,3.84,4/28/2019 10:44,"664 Church St, Seattle, WA 98101"
72,176625,AAA Batteries (4-pack),2,2.99,4/24/2019 19:00,"858 5th St, San Francisco, CA 94016"
73,176626,Bose SoundSport Headphones,1,99.99,4/1/2019 21:40,"491 Chestnut St, Boston, MA 02215"
74,176627,Wired Headphones,1,11.99,4/21/2019 14:57,"994 13th St, Atlanta, GA 30301"
75,176628,Lightning Charging Cable,2,14.95,4/15/2019 4:03,"628 Wilson St, Dallas, TX 75001"
76,176629,USB-C Charging Cable,1,11.95,4/24/2019 11:56,"101 Lincoln St, San Francisco, CA 94016"
77,176630,Google Phone,1,600,4/10/2019 5:01,"770 Maple St, San Francisco, CA 94016"
78,176631,USB-C Charging Cable,1,11.95,4/13/2019 18:48,"292 Dogwood St, San Francisco, CA 94016"
79,176632,AAA Batteries (4-pack),1,2.99,4/14/2019 14:28,"814 Madison St, San Francisco, CA 94016"
80,176633,ThinkPad Laptop,1,999.99,4/23/2019 14:03,"863 Hickory St, Los Angeles, CA 90001"
81,176634,Lightning Charging Cable,1,14.95,4/10/2019 8:00,"311 Madison St, Atlanta, GA 30301"
82,176635,Vareebadd Phone,1,400,4/26/2019 9:55,"85 North St, San Francisco, CA 94016"
83,176636,AA Batteries (4-pack),1,3.84,4/30/2019 20:37,"140 10th St, Boston, MA 02215"
84,176637,AAA Batteries (4-pack),1,2.99,4/17/2019 10:03,"261 Sunset St, New York City, NY 10001"
85,176638,USB-C Charging Cable,1,11.95,4/20/2019 8:33,"869 Cherry St, Boston, MA 02215"
86,176639,Macbook Pro Laptop,1,1700,4/28/2019 16:14,"853 Cedar St, San Francisco, CA 94016"
87,176640,Wired Headphones,2,11.99,4/27/2019 22:54,"164 Lake St, San Francisco, CA 94016"
88,176641,Lightning Charging Cable,1,14.95,4/25/2019 21:36,"655 Sunset St, Boston, MA 02215"
89,176642,AA Batteries (4-pack),1,3.84,4/17/2019 18:38,"72 Elm St, Portland, OR 97035"
90,176643,Macbook Pro Laptop,1,1700,4/27/2019 21:32,"373 Adams St, Boston, MA 02215"
91,176644,USB-C Charging Cable,1,11.95,4/23/2019 2:09,"962 7th St, Los Angeles, CA 90001"
92,176645,AAA Batteries (4-pack),3,2.99,4/26/2019 18:38,"514 Lake St, Dallas, TX 75001"
93,176646,Macbook Pro Laptop,1,1700,4/22/2019 7:14,"657 Adams St, Portland, OR 97035"
94,176647,Google Phone,1,600,4/21/2019 19:40,"273 South St, Los Angeles, CA 90001"
95,176648,27in FHD Monitor,1,149.99,4/24/2019 1:17,"732 2nd St, Portland, OR 97035"
96,176649,USB-C Charging Cable,1,11.95,4/9/2019 8:49,"702 11th St, San Francisco, CA 94016"
97,176650,Lightning Charging Cable,1,14.95,4/12/2019 16:47,"153 River St, Boston, MA 02215"
98,176651,iPhone,1,700,4/7/2019 13:14,"997 South St, Boston, MA 02215"
99,176652,LG Washing Machine,1,600,4/9/2019 20:04,"502 14th St, New York City, NY 10001"
100,176653,AA Batteries (4-pack),1,3.84,4/26/2019 19:20,"285 Chestnut St, San Francisco, CA 94016"
101,176654,USB-C Charging Cable,1,11.95,4/15/2019 19:35,"880 Lakeview St, Seattle, WA 98101"
102,176655,Apple Airpods Headphones,1,150,4/11/2019 19:36,"848 Center St, San Francisco, CA 94016"
103,176656,Google Phone,1,600,4/12/2019 16:42,"12 Lakeview St, New York City, NY 10001"
104,176657,ThinkPad Laptop,1,999.99,4/23/2019 10:16,"774 Forest St, Los Angeles, CA 90001"
105,176658,AAA Batteries (4-pack),2,2.99,4/22/2019 8:51,"573 Pine St, San Francisco, CA 94016"
106,176659,20in Monitor,1,109.99,4/29/2019 14:40,"804 Church St, Dallas, TX 75001"
107,176660,AA Batteries (4-pack),1,3.84,4/16/2019 17:10,"267 West St, Boston, MA 02215"
108,176661,Wired Headphones,1,11.99,4/25/2019 20:40,"522 6th St, Atlanta, GA 30301"
109,176662,34in Ultrawide Monitor,1,379.99,4/5/2019 12:46,"678 Hickory St, Portland, OR 97035"
110,176663,Bose SoundSport Headphones,1,99.99,4/5/2019 11:48,"450 Johnson St, Seattle, WA 98101"
111,176664,AAA Batteries (4-pack),1,2.99,4/13/2019 18:59,"544 Madison St, Los Angeles, CA 90001"
112,176665,ThinkPad Laptop,1,999.99,4/7/2019 14:15,"927 13th St, Dallas, TX 75001"
113,176666,Wired Headphones,1,11.99,4/8/2019 16:50,"382 Forest St, Seattle, WA 98101"
114,176667,27in 4K Gaming Monitor,1,389.99,4/11/2019 0:39,"92 11th St, Los Angeles, CA 90001"
115,176668,AA Batteries (4-pack),1,3.84,4/15/2019 20:46,"56 2nd St, Dallas, TX 75001"
116,176669,27in FHD Monitor,1,149.99,4/8/2019 12:57,"506 Jackson St, Dallas, TX 75001"
117,176670,Apple Airpods Headphones,1,150,4/25/2019 21:23,"892 Willow St, San Francisco, CA 94016"
118,176671,AAA Batteries (4-pack),2,2.99,4/23/2019 16:31,"738 Jefferson St, New York City, NY 10001"
119,176672,Lightning Charging Cable,1,14.95,4/12/2019 11:07,"778 Maple St, New York City, NY 10001"
120,176672,USB-C Charging Cable,1,11.95,4/12/2019 11:07,"778 Maple St, New York City, NY 10001"
121,176673,20in Monitor,1,109.99,4/10/2019 8:17,"952 1st St, Boston, MA 02215"
122,176674,AAA Batteries (4-pack),3,2.99,4/20/2019 20:53,"907 West St, Austin, TX 73301"
123,176675,AAA Batteries (4-pack),1,2.99,4/2/2019 9:02,"933 Meadow St, Seattle, WA 98101"
124,176676,LG Dryer,1,600,4/9/2019 0:35,"788 Lincoln St, Los Angeles, CA 90001"
125,176677,34in Ultrawide Monitor,1,379.99,4/1/2019 11:50,"661 Washington St, Austin, TX 73301"
126,176678,AA Batteries (4-pack),2,3.84,4/19/2019 22:12,"345 Sunset St, San Francisco, CA 94016"
127,176679,Apple Airpods Headphones,1,150,4/16/2019 11:12,"245 West St, Boston, MA 02215"
128,176680,USB-C Charging Cable,1,11.95,4/13/2019 11:28,"368 Main St, Los Angeles, CA 90001"
129,176681,Apple Airpods Headphones,1,150,4/20/2019 10:39,"331 Cherry St, Seattle, WA 98101"
130,176681,ThinkPad Laptop,1,999.99,4/20/2019 10:39,"331 Cherry St, Seattle, WA 98101"
131,176682,Lightning Charging Cable,1,14.95,4/27/2019 6:19,"593 Adams St, Boston, MA 02215"
132,176683,AA Batteries (4-pack),1,3.84,4/3/2019 13:54,"253 Willow St, Los Angeles, CA 90001"
